Title,Company,Info
Інженер з комп'ютерних систем,"Международные Авиалинии Украины 
										","Авіакомпанія МАУ розглядає кандидатів на позицію аналітика систем. ;Функціональні обов'язки: ;аналіз написаного коду, тестування продукту тощорозгортання проекту і сховища бази данихадміністрування, підтримка..."
Big Data Software Engineer,"Kyivstar / Киевстар 
										","We are looking for a Big Data Engineer to join Kyivstar's growing team of advanced analytics products. You will be working with key stakeholders within the company to generate hypotheses, develop models..."
Senior Back End Engineer for Keywee,"Ciklum 
										","On behalf of Keywee, Ciklum is looking for Senior Back End Developer to join Kyiv team on a full-time basis. ;Keywee is looking for a Senior Back End Engineer to lead the development of mission-critical..."
Data Engineer,"lifecell 
										",At this position you will work with data about customers activity in one of the largest telecom operators on the market. You will participate in development of ETL processes and data pipelines in data...
Data Scientist,"Acino 
										","Job brief: ;We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company.In this role, you should be highly analytical with a knack..."
Jun/mid data scientist,"Artellence 
										","Мы - Artellence, продуктовая компания, которая на базе ML&AI алгоритмов создает технологии уникальные в мировом масштабе. На базе анализа больших данных из открытых источников, разрабатываем продукты..."
Викладач дисциплін з комп'ютерних наук,"Национальный университет биоресурсов и природопользования 
										","Требования: вища освіта, педагогічний стаж, науковий ступінь ;Обязанности: проведення лабораторних робіт, викладання лекцій ;Условия работы:Розглядаються варіанти: 0,25 (150 годин на рік); 0,5 (300 годин..."
Junior Consultant (Data Analytics),"Mazars Ukraine 
										",Consultant (Junior) - Digital transformation journey (Data Analytics)Language proficiency required: EnglishLocation: Kyiv Ukraine ;Do you want to join a team that?Is an international team in terms of thinking...
Инженер-программист,"Crypton-M Ltd 
										","ОбязанностиСпециалист с практическим опытом разработки и внедрения систем автоматической идентификации диктора по голосу, распознавание речи. Обязательна демонстрация рабочих приложений.Условия:График..."
Data scientist intern,"Artellence 
										","Мы - Artellence, продуктовая компания, которая на базе ML&AI алгоритмов создает технологии уникальные в мировом масштабе. На базе анализа больших данных из открытых источников, разрабатываем продукты..."
Преподаватель курса по Python,"Prog.kiev.ua 
										","Необходимые навыки ;Знание популярных фреймворков (Django etc.)Грамотная речь, умение четко излагать и ;доносить материал.Опыт коммерческой разработки на ;Python. ;Будет плюсом ;Опыт преподавательской..."
QA Lead (python+automation),"Lynx capital partners  
										",Вимоги:Responsibilities and requirements:Analyticsa. Define and provide metrics for testing coverageb. Identify bottlenecks in the testing pipeline2. Designa. Design new architecture to increase automated...
Data Analyst ,"PDFfiller.com 
										","Required skills:Knowledge of:basic statistics: basic distributions (Normal, Gaussian, Exponential, Beta) and statistical hypothesis testing;basic non-parametric statistics;regression analysis: parameter..."
Python backend developer,"CYBERIO 
										","Product company is looking for a software engineer (backend).Tech stack:Python2, Node.js, MongoDB, RabbitMQ, Meteor,Wireless.Tech stack:Python2, Node.js, MongoDB, RabbitMQ, Meteor, Wireless. ;Skills And..."
